lat,lon,cluster
50.9389185,6.9780129,0
51.0637168,6.8638167,4
51.0610262,6.8729477,4
51.0608517,6.8724008,4
50.9645067,6.9515413,0
50.9664155,6.9518029,0
50.96648,6.9512066,0
50.964225,6.9560649,0
50.9663418,6.9531875,0
50.9612519,6.9564742,0
50.9599996,6.9547383,0
50.9679472,6.955228,0
50.9655045,6.9562809,0
50.9644644,6.9526336,0
50.9650637,6.9533927,0
50.9520962,6.9542983,0
50.927468,6.856958,1
51.0214949,6.8848166,4
50.9516976,6.925729,1
50.9191917,6.9154721,1
51.0512943,6.916132,4
50.9949554,6.9203453,4
51.0387011,6.9462629,4
50.9079948,6.9706467,0
50.9351496,6.9368407,0
50.941115,6.9373856,0
50.9308655,6.9191034,1
50.9368052,6.8657039,1
50.9655955,6.9545767,0
50.9655262,6.953331,0
50.9472988,6.9167527,1
51.0494607,6.8493544,4
51.0471184,6.8467986,4
50.9711306,7.0062013,3
50.9591455,6.9999341,3
50.9538688,6.9107278,1
50.9560372,6.9174429,1
50.9369153,6.8659102,1
50.8561793,6.9568945,0
50.941927,6.9364032,0
50.9419412,6.9358066,0
50.9420717,6.9355574,0
50.9288473,6.9364768,0
50.9297077,6.9385423,0
50.9294748,6.9380873,0
50.9295681,6.9382438,0
50.9286366,6.936715,0
50.9216021,6.9195488,1
50.9457347,6.9403605,0
50.9758103,6.9501529,0
50.9774661,6.949355,0
50.9819562,6.9480077,0
50.9870168,6.9455785,0
50.9979046,6.9371221,4
50.9351148,6.9378096,0
50.9796904,7.0227295,3
50.9807525,7.0234092,3
50.9898126,7.0340744,3
50.9776965,6.9488059,0
50.9797211,6.9480979,0
50.9645732,6.9763688,0
50.9359323,6.9347492,0
50.9279671,6.9401479,0
50.9385914,6.8437065,1
50.9392476,6.8418607,1
50.9161132,6.97993,0
50.9299042,6.9383181,0
50.9217189,6.9663846,0
50.9201122,6.9623533,0
50.9189157,6.9643137,0
50.9188888,6.9622516,0
50.9303936,6.9436314,0
50.9192931,6.9608956,0
50.9402502,6.9722495,0
51.0100662,7.035904,3
50.9348359,6.9490703,0
50.9466272,6.9240521,1
50.9596783,6.9543225,0
50.9467421,6.9225967,1
50.9223326,6.9683518,0
50.920402,6.9691267,0
50.918935,6.969862,0
50.9188476,6.9566555,0
50.8662103,7.0477924,2
50.9418989,6.9563048,0
50.9419058,6.956819,0
50.940053,6.9332039,0
50.9551026,6.956506,0
50.9546712,6.9209252,1
50.942422,6.9564332,0
50.9427274,6.955701,0
50.9428004,6.9557644,0
50.9443978,6.9561426,0
50.9442907,6.9561589,0
50.9434984,6.9541407,0
50.9432071,6.9543539,0
50.9430867,6.9546979,0
50.9428107,6.9546912,0
50.9289673,6.9410604,0
50.9291648,6.9127178,1
50.9301372,6.9144003,1
50.9304077,6.9208265,1
50.9536055,6.9238292,1
50.9221993,6.9584116,0
50.9228183,6.9282321,0
50.9525316,6.953576,0
50.9554684,6.9637203,0
50.9380916,6.9340632,0
50.9683214,7.0167154,3
50.9462382,6.9612876,0
50.9531389,6.9215516,1
50.9328327,6.9345025,0
50.9365078,6.9182217,1
50.9320217,6.9205289,1
50.9314568,6.9179324,1
